,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,right_ascension,declination
3,3,14 Herculis b,59,4.66 Jupiters,6.61,2002,Gas Giant,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,,16h10m24.31s,+43d49m03.5s
4,4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,Gas Giant,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,,19h41m51.97s,+50d31m03.1s
16,16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,Gas Giant,0.92 x Jupiter,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,46.2,21h40m29.32s,+16d25m18.3s
20,20,47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,Gas Giant,1.18 x Jupiter,2.1 AU,3 years,0.03,42 Dra,Radial Velocity,,18h25m59.14s,+65d33m48.5s
21,21,47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,Gas Giant,1.27 x Jupiter,3.6 AU,6.6 years,0.1,47 UMa,Radial Velocity,,10h59m27.97s,+40d25m48.9s
22,22,47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,Gas Giant,1.2 x Jupiter,11.6 AU,38.4 years,0.16,47 UMa,Radial Velocity,,10h59m27.97s,+40d25m48.9s
24,24,51 Eridani b,96,2 Jupiters,5.23,2015,Gas Giant,1.19 x Jupiter,12.0 AU,32 years,0.45,51 Eri,Imaging,133,04h37m36.13s,-02d28m24.8s
25,25,51 Pegasi b,50,0.46 Jupiters,5.5,1995,Gas Giant,1.27 x Jupiter,0.0527 AU,4.2 days,0.01,51 Peg,Radial Velocity,,22h57m27.98s,+20d46m07.8s
26,26,55 Cancri b,41,0.8306 Jupiters,5.96,1996,Gas Giant,1.24 x Jupiter,0.115227 AU,14.7 days,0,55 Cnc,Radial Velocity,90,08h52m35.81s,+28d19m50.9s
27,27,55 Cancri c,41,0.1714 Jupiters,5.96,2004,Gas Giant,0.76 x Jupiter,0.241376 AU,44.4 days,0.02,55 Cnc,Radial Velocity,90,08h52m35.81s,+28d19m50.9s
